课程编号,课程名,校区,老师,分类,类型,开课学院,学分
B3J123191,高级德语口语（1）(其他语言),学院路校区,Barbara Nowara,一般专业类,选修,外国语学院,2
B3J123310,英国文学史(英汉双语),学院路校区,张继琴,一般专业类,选修,外国语学院,2
B3J123320,美国文学史(英汉双语),学院路校区,李 英,一般专业类,选修,外国语学院,2
B3J123330,英诗赏析(英汉双语),学院路校区,顿 超,一般专业类,选修,外国语学院,2
B3J123350,英语短篇小说(英汉双语),学院路校区,邢春丽,一般专业类,选修,外国语学院,2
B3J123360,英语国家文学(英汉双语),学院路校区,黄重凤,一般专业类,选修,外国语学院,2
B3J123660,修辞理论(全英语),学院路校区,胥国红,一般专业类,选修,外国语学院,2
B3J13271A,房屋建筑学(全汉语),学院路校区,白 音,一般专业类,选修,交通科学与工程学院,4.5
B3J13312A,工程仿真软件基础(全汉语),学院路校区,胡大勇,一般专业类,选修,交通科学与工程学院,1
B3J13316A,汽车材料(全英语),学院路校区,许 骏,一般专业类,选修,交通科学与工程学院,2
B3J13321A,液压与气动基础(全汉语),学院路校区,王 岩,一般专业类,选修,交通科学与工程学院,2
B3J13324A,有限元基础(全汉语),学院路校区,刘艳芳,一般专业类,选修,交通科学与工程学院,1.5
B3J13336A,交通心理与行为(全汉语),学院路校区,丁 川|于 滨,一般专业类,选修,交通科学与工程学院,2
B3J13341A,交通运输网络分析(全汉语),学院路校区,于 滨,一般专业类,选修,交通科学与工程学院,2
B3J13361B,人因工程与飞行安全(全汉语),学院路校区,杜俊敏,一般专业类,选修,交通科学与工程学院,2
B3J13371A,有限元基础(全汉语),学院路校区,高政国,一般专业类,选修,交通科学与工程学院,1
B3J13372A,工程地质学(全汉语),学院路校区,冯锦艳,一般专业类,选修,交通科学与工程学院,1.5
B3J13373A,工程概预算(全汉语),学院路校区,罗 汀,一般专业类,选修,交通科学与工程学院,1
B3J13419A,单片机原理及系统设计(全汉语),学院路校区,王 建,一般专业类,选修,交通科学与工程学院,1
B3J13464B,飞机环境控制系统与适航(全汉语),学院路校区,柯 鹏,一般专业类,选修,交通科学与工程学院,2
B3J14323A,可靠性试验技术(全汉语),学院路校区,王晓红,一般专业类,选修,可靠性与系统工程学院,1.5
B3J14331B,产品可靠性维修性设计(全汉语),学院路校区,周 栋|杨德真,一般专业类,选修,可靠性与系统工程学院,1
B3J153620,传感器技术与测试系统(全汉语),学院路校区,王可东,一般专业类,选修,宇航学院,2
B3J153910,航天飞行器操作与应用基础(全汉语),学院路校区,董云峰,一般专业类,选修,宇航学院,1.5
B3J153960,工程热力学与传热学(全汉语),学院路校区,王长辉,一般专业类,选修,宇航学院,2
B3J153960,工程热力学与传热学(全汉语),学院路校区,王一白,一般专业类,选修,宇航学院,2
B3J153980,新概念航天器——绳系系统和太阳帆导论(全汉语),学院路校区,钟 睿,一般专业类,选修,宇航学院,1.5
B3J173420,激光原理与技术(全汉语),学院路校区,杨远洪,一般专业类,必修,仪器科学与光电工程学院,3
B3J173420,激光原理与技术(全汉语),学院路校区,胡姝玲,一般专业类,必修,仪器科学与光电工程学院,3
B3J173510,传感器技术及应用(全汉语),学院路校区,樊尚春,一般专业类,必修,仪器科学与光电工程学院,3
B3J173510,传感器技术及应用(全汉语),学院路校区,郭占社,一般专业类,必修,仪器科学与光电工程学院,3
B3J173510,传感器技术及应用(全汉语),学院路校区,李 成,一般专业类,必修,仪器科学与光电工程学院,3
B3J193710,专业英语(英汉双语),学院路校区,朱开贵,一般专业类,选修,物理科学与核能工程学院,2
B3J193720,物理学前沿专题(全汉语),学院路校区,周 苗,一般专业类,选修,物理科学与核能工程学院,2
B3J193740,半导体物理导论(全汉语),学院路校区,时洪亮,一般专业类,选修,物理科学与核能工程学院,2
B3J193760,数学物理方法（2）(全汉语),学院路校区,郭怀明,一般专业类,必修,物理科学与核能工程学院,3
B3J193810,信号与系统(全汉语),学院路校区,李 华,一般专业类,选修,物理科学与核能工程学院,2
B3J193830,微机原理与接口技术(全汉语),学院路校区,郑 明,一般专业类,选修,物理科学与核能工程学院,2
B3J193870,激光原理与激光测量(全汉语),学院路校区,钱建强,一般专业类,选修,物理科学与核能工程学院,2
B3J193880,信息光学(全汉语),学院路校区,王三胜,一般专业类,选修,物理科学与核能工程学院,2
B3J193910,核科学概论(全汉语),学院路校区,竺礼华,一般专业类,选修,物理科学与核能工程学院,2
B3J193920,核技术基础(全汉语),学院路校区,乐小云,一般专业类,选修,物理科学与核能工程学院,2
B3J203110,破产法(全汉语),学院路校区,乔博娟,一般专业类,选修,法学院,2
B3J20321A,经济法(全汉语),学院路校区,王 丽,一般专业类,选修,法学院,3
B3J203220,环境法(全汉语),学院路校区,梁文婷,一般专业类,必修,法学院,2
B3J203240,金融法(全汉语),学院路校区,朱晓婷,一般专业类,选修,法学院,2
B3J203250,保险法(全汉语),学院路校区,任自力,一般专业类,选修,法学院,2
B3J203260,票据法(全汉语),学院路校区,王 丽|周学峰,一般专业类,选修,法学院,2
B3J203270,财税法(全汉语),学院路校区,董杜骄,一般专业类,选修,法学院,2
B3J203290,电子商务法(全汉语),学院路校区,董杜骄,一般专业类,选修,法学院,2
B3J203311,知识产权法（全英文）(全英语),学院路校区,孙新强,一般专业类,选修,法学院,2
B3J203420,强制执行法(全汉语),学院路校区,张晓茹,一般专业类,选修,法学院,2
B3J203430,仲裁法(全汉语),学院路校区,张晓茹,一般专业类,选修,法学院,1
B3J203610,人权法(全汉语),学院路校区,翟庆振,一般专业类,选修,法学院,2
B3J205840,司法实务(全汉语),学院路校区,肖建华,一般专业类,选修,法学院,2
B3J213110,数字电路分析设计,学院路校区,邓莹莹,一般专业类,选修,软件学院,2
B3J213120,嵌入式系统(全汉语),学院路校区,康一梅,一般专业类,选修,软件学院,2
B3J213210,数据挖掘概论(全汉语),学院路校区,杜孝平,一般专业类,选修,软件学院,2
B3J213220,网络存储,学院路校区,路新喜,一般专业类,选修,软件学院,2
B3J213711,网络管理(全英语),学院路校区,Ian,一般专业类,选修,软件学院,1
B3J213721,数据管理(全英语),学院路校区,Ian,一般专业类,选修,软件学院,1
B3J213810,响应式web设计(全汉语),学院路校区,李祺,一般专业类,选修,软件学院,1
B3J213820,大数据概论(全汉语),学院路校区,李祺,一般专业类,选修,软件学院,1
B3J263460,UI设计(全汉语),学院路校区,王 宁,一般专业类,选修,新媒体艺术与设计学院,2
B3J263470,包装设计(全汉语),学院路校区,宋泽惠,一般专业类,选修,新媒体艺术与设计学院,2
B3J263620,动态图像设计(全汉语),学院路校区,刘莎,一般专业类,选修,新媒体艺术与设计学院,2
B3J263630,实验影像创作(全汉语),学院路校区,刘 恪,一般专业类,选修,新媒体艺术与设计学院,2
B3J263640,三维图像设计基础(全汉语),学院路校区,徐静秋,一般专业类,选修,新媒体艺术与设计学院,2
B3J263790,油画基础(全汉语),学院路校区,庄维嘉,一般专业类,选修,新媒体艺术与设计学院,2
B3J263810,丝网版画基础(全汉语),学院路校区,王 丹,一般专业类,选修,新媒体艺术与设计学院,2
B3J263820,水墨小品(全汉语),学院路校区,李 佳,一般专业类,选修,新媒体艺术与设计学院,2
B3J263920,交互动画设计(全汉语),学院路校区,胡 勇,一般专业类,选修,新媒体艺术与设计学院,2
B3J27334B,高分子化学,学院路校区,王明存,一般专业类,选修,化学学院,3
B3J27334B,高分子化学,学院路校区,王明存,一般专业类,选修,化学学院,3
B3J27336B,化工原理(全汉语),学院路校区,高龙成|东宇,一般专业类,选修,化学学院,3
B3J27341B,中级无机化学(全汉语),学院路校区,高秋明,一般专业类,选修,化学学院,3
B3J27343C,化学进展(英汉双语),学院路校区,高秋明,一般专业类,选修,化学学院,3
B3J27344B,基础生物化学(全汉语),学院路校区,范 霞,一般专业类,选修,化学学院,2
B3J27345B,超分子化学(全汉语),学院路校区,刘全勇,一般专业类,选修,化学学院,2
B3J27351B,复合材料(全汉语),学院路校区,杨中甲,一般专业类,选修,化学学院,2
B3J273681,软物质科学导论（英文）(全英语),学院路校区,刘 丽,一般专业类,选修,化学学院,2
